Championship,Active,Brand (Linked),Category,Current Holder,Defenses,Division,Lineage Notes,Matches,Notes,Rivalries,Title History
Women's World Championship,Yes,Raw (https://www.notion.so/Raw-31d341dd49468192b742e2fde956f670?pvs=21),Current WWE,VACANT,,Women's Singles,SmackDown women's lineage. Includes SmackDown Women's Championship. Rebranded to Women's World Championship in 2023.,,Declared vacant at Hard Reset. Tournament to determine new champion in following weeks.,,
Crown Jewel Championship,No,,Current WWE,,,Men's Singles,Exclusive to Saudi Arabia events. New in WWE 2K26.,,,,
Women's Tag Team Championship,No,,Current WWE,VACANT,,Tag Team,Introduced in 2019 as the first women's tag title in WWE history. Cross-brand.,,Declared vacant at Hard Reset. Tournament to determine new champion in following weeks.,,
World Heavyweight Championship,Yes,SmackDown (https://www.notion.so/SmackDown-31d341dd49468133ba1dfaee4c527f79?pvs=21),Current WWE,VACANT,,Men's Singles,Reactivated in 2023 as separate title from WWE Championship. Lineage traces back to World Heavyweight Championship '02-'13 (originally WCW-derived).,,Declared vacant at Hard Reset. Tournament to determine new champion in following weeks.,,
NXT Cruiserweight Championship,No,,Current WWE,,,Men's Singles,NXT cruiserweight division title.,,,,
NXT Women's Championship,No,,Current WWE,,,Women's Singles,"NXT's top women's title. Includes designs from '13-'17, '17-'21, '22-'24, and current.",,,,
Women's Intercontinental Championship,No,,Current WWE,VACANT,,Women's Singles,New title introduced in 2024. No prior lineage.,,Declared vacant at Hard Reset. Tournament to determine new champion in following weeks.,,
NXT Tag Team Championship,No,,Current WWE,,,Tag Team,NXT tag title. Includes '13-'17 design and current design.,,,,
WWE Women's Championship,Yes,SmackDown (https://www.notion.so/SmackDown-31d341dd49468133ba1dfaee4c527f79?pvs=21),Current WWE,Rhea Ripley,,Women's Singles,"Raw women's lineage. Includes WWE Women's Championship '98-'10, Divas Championship, and Raw Women's Championship. Current design introduced 2023.",,,,
WWE Light Heavyweight Championship,No,,Classic WWE,,,Men's Singles,Active 1997-2001. Predecessor to the Cruiserweight division in WWE.,,,,
WWE 24/7 Championship,No,,Classic WWE,,,Men's Singles,Active 2019-2023. Successor to the Hardcore Championship with 24/7 rules. Retired and replaced by Speed Championship.,,,,
WWE Cruiserweight Championship,No,,Classic WWE,,,Men's Singles,Active 2001-2007 on SmackDown. Originated in WCW.,,,,
Brahma Bull WWE Championship,No,,Classic WWE,,,Men's Singles,Custom design of the WWE Championship created for The Rock. Variant of the WWE Championship lineage.,,,,
Million Dollar Championship,No,,Classic WWE,,,Men's Singles,Created by Ted DiBiase Sr. in 1989. Never an officially sanctioned WWE title — personal vanity belt.,,,,
NXT UK Women's Championship,No,,Classic WWE,,,Women's Singles,Women's title of NXT UK brand (2018-2022). Retired when NXT UK folded.,,,,
WWE United Kingdom Championship,No,,Classic WWE,,,Men's Singles,"Separate from NXT UK Championship. Introduced 2017, defended on NXT UK and UK tours.",,,,
NXT UK Championship,No,,Classic WWE,,,Men's Singles,Top title of NXT UK brand (2018-2022). Brand discontinued; title retired.,,,,
Smoking Skull WWE Championship,No,,Classic WWE,,,Men's Singles,Custom design of the WWE Championship created for Stone Cold Steve Austin. Variant of the WWE Championship lineage.,,,,
The Fiend Universal Championship,No,,Classic WWE,,,Men's Singles,Custom horror-themed design of the Universal Championship held by Bray Wyatt in 2019-2020.,,,,
NXT UK Tag Team Championship,No,,Classic WWE,,,Tag Team,Tag titles of NXT UK brand (2019-2022). Retired when NXT UK folded.,,,,
WWE Hardcore Championship,No,,Classic WWE,,,Men's Singles,Active 1998-2002. Famous for 24/7 rule. Retired by Triple H.,,,,
WWE European Championship,No,,Classic WWE,,,Men's Singles,Active 1997-2002. Unified with Intercontinental title by Triple H.,,,,
WCW Hardcore Championship,No,,ECW & WCW,,,Men's Singles,"WCW's hardcore title, introduced late in the promotion's run.",,,,
WCW Tag Team Championship,No,,ECW & WCW,,,Tag Team,Includes '91-'96 and main WCW World Tag Team Championship designs.,,,,
ECW World Television Championship,No,,ECW & WCW,,,Men's Singles,Secondary title in original ECW. Active through most of ECW's run in the 1990s.,,,,
ECW World Tag Team Championship,No,,ECW & WCW,,,Tag Team,Tag titles of original ECW promotion.,,,,
WCW Women's Championship,No,,ECW & WCW,,,Women's Singles,WCW's women's title. Largely inactive during most of WCW's run.,,,,
WCW World Championship,No,,ECW & WCW,,,Men's Singles,"Includes WCW World Championship '91-'93, nWo World Championship, and nWo Legacy variants. Top title of WCW until 2001.",,,,
WCW Cruiserweight Championship,No,,ECW & WCW,,,Men's Singles,WCW's cruiserweight division title. Brought to WWE briefly after WCW merger.,,,,
WCW United States Championship,No,,ECW & WCW,,,Men's Singles,"Secondary WCW title, later absorbed into WWE's US title lineage after WCW merger.",,,,
ECW Championship,No,,ECW & WCW,,,Men's Singles,"Includes original ECW World Championship ('94-'01) and WWE's ECW revival versions ('06-'08, '08-'10). All collapsed into one lineage.",,,,
AAA Mega Championship,No,,AAA,,,Men's Singles,Top men's title in Lucha Libre AAA promotion. New addition in WWE 2K26 via Ringside Pass.,,,,
AAA Reina De Reinas Championship,No,,AAA,,,Women's Singles,Top women's title in Lucha Libre AAA promotion. New addition in WWE 2K26 via Ringside Pass.,,,,
